epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6514,2.30244,7.16206,1.90671,0.59685,0.17778,0.18237,0.07219,2.18853,6.40364,2.02311,0.000412234,0.000412234,0.000412234
2,40.8881,2.18022,5.5581,1.82303,0.32839,0.30109,0.2248,0.07412,2.13568,5.40399,2.12915,0.000828091,0.000828091,0.000828091
3,56.3708,2.19991,5.18315,1.84593,0.36729,0.30296,0.28785,0.11137,2.25236,5.27391,2.0344,0.00124071,0.00124071,0.00124071
4,70.9959,2.18877,4.78506,1.82357,0.48475,0.46194,0.45566,0.16004,2.15153,4.27506,1.97367,0.00123904,0.00123904,0.00123904
5,85.673,2.15236,4.57848,1.82707,0.31587,0.33389,0.34489,0.14729,2.08826,4.12254,1.99488,0.00123056,0.00123056,0.00123056
6,100.153,2.12387,4.49158,1.78341,0.56842,0.4498,0.41957,0.17267,2.06018,4.18101,1.85344,0.00121972,0.00121972,0.00121972
7,114.678,2.08943,4.23955,1.77903,0.68231,0.37645,0.52204,0.22683,2.09628,3.85103,1.87408,0.00120655,0.00120655,0.00120655
8,130.174,2.07256,4.09422,1.74072,0.65909,0.46748,0.53201,0.24539,1.96159,3.70535,1.75291,0.00119111,0.00119111,0.00119111
9,144.708,2.05622,3.96469,1.75421,0.69134,0.54592,0.64165,0.25024,2.01644,3.52972,1.84116,0.00117346,0.00117346,0.00117346
10,159.208,2.08515,3.92643,1.75395,0.5767,0.66446,0.59621,0.2374,2.03228,3.3433,1.82067,0.00115368,0.00115368,0.00115368
11,173.87,2.03365,3.89319,1.70449,0.53492,0.51996,0.5876,0.24112,2.11347,3.29937,1.88838,0.00113183,0.00113183,0.00113183
12,188.501,2.02976,3.73172,1.69768,0.75303,0.59547,0.69797,0.30635,2.00081,3.41265,1.84598,0.00110801,0.00110801,0.00110801
13,203.237,2.01119,3.75218,1.70995,0.66514,0.69117,0.70965,0.29397,1.9867,3.12568,1.78546,0.0010823,0.0010823,0.0010823
14,218.186,2.01553,3.68463,1.72157,0.65623,0.67641,0.71749,0.2888,2.03258,3.29024,1.87217,0.00105481,0.00105481,0.00105481
15,233.069,1.99545,3.62954,1.69486,0.7219,0.71324,0.77147,0.34097,2.01237,3.04863,1.81344,0.00102566,0.00102566,0.00102566
16,248.52,1.99869,3.61149,1.69762,0.64337,0.65544,0.70686,0.29264,1.98608,3.05558,1.84235,0.000994942,0.000994942,0.000994942
17,263.415,1.973,3.42986,1.66633,0.6978,0.72806,0.75849,0.33555,2.01193,2.94257,1.84423,0.000962793,0.000962793,0.000962793
18,279.06,1.94991,3.38529,1.66893,0.78624,0.73834,0.80507,0.38137,1.94838,2.78963,1.81916,0.000929335,0.000929335,0.000929335
19,294.184,1.93556,3.30781,1.63397,0.79872,0.75639,0.82653,0.3979,1.92828,2.63961,1.71509,0.000894701,0.000894701,0.000894701
20,309.002,1.91496,3.21427,1.6286,0.72457,0.70939,0.77942,0.33147,2.00485,2.8634,1.85238,0.000859027,0.000859027,0.000859027
21,323.781,1.9267,3.2173,1.63153,0.69649,0.75743,0.80984,0.37114,1.99908,2.77144,1.76521,0.000822454,0.000822454,0.000822454
22,338.555,1.92697,3.19723,1.63055,0.70673,0.70387,0.78857,0.3496,2.00142,2.78868,1.74907,0.000785127,0.000785127,0.000785127
23,352.642,1.8937,3.13414,1.60754,0.77955,0.75907,0.81894,0.37624,1.88917,2.62975,1.72522,0.000747192,0.000747192,0.000747192
24,366.792,1.89808,3.11198,1.6001,0.81973,0.7438,0.84242,0.38957,1.94793,2.61269,1.75069,0.0007088,0.0007088,0.0007088
25,380.559,1.8985,2.99216,1.61376,0.83151,0.73566,0.81983,0.37472,2.00887,2.60734,1.75886,0.000670102,0.000670102,0.000670102
26,393.832,1.86905,2.95132,1.5877,0.75731,0.77638,0.80834,0.39391,1.89845,2.48899,1.72142,0.00063125,0.00063125,0.00063125
27,407.205,1.86204,2.91525,1.58329,0.83766,0.7901,0.88636,0.43235,1.94804,2.4244,1.69515,0.000592398,0.000592398,0.000592398
28,420.563,1.85147,2.86935,1.57149,0.76826,0.84641,0.8585,0.41096,1.8704,2.37855,1.68754,0.0005537,0.0005537,0.0005537
29,433.889,1.84802,2.8255,1.55982,0.78363,0.83857,0.87763,0.43691,1.87287,2.39359,1.69531,0.000515308,0.000515308,0.000515308
30,447.25,1.82573,2.8132,1.55799,0.92678,0.76821,0.90052,0.41474,1.94192,2.33208,1.73266,0.000477373,0.000477373,0.000477373
31,460.659,1.81503,2.73249,1.55513,0.87009,0.78682,0.88694,0.43762,1.86808,2.25297,1.69202,0.000440046,0.000440046,0.000440046
32,473.964,1.7963,2.67953,1.54407,0.83436,0.81519,0.86905,0.42506,1.87192,2.32166,1.68557,0.000403473,0.000403473,0.000403473
33,487.363,1.78972,2.58757,1.52756,0.85834,0.80878,0.89491,0.4609,1.88546,2.29301,1.70491,0.000367799,0.000367799,0.000367799
34,500.71,1.7663,2.55938,1.52294,0.82902,0.87672,0.90487,0.46859,1.83571,2.21072,1.66567,0.000333165,0.000333165,0.000333165
35,514.163,1.75151,2.47273,1.50999,0.87953,0.85113,0.9209,0.46461,1.88185,2.26185,1.71148,0.000299707,0.000299707,0.000299707
