epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9452,2.31137,7.14378,1.8932,0.51418,0.15347,0.14529,0.0542,2.11708,6.16757,1.98395,0.000412234,0.000412234,0.000412234
2,30.1763,2.19122,5.54378,1.84095,0.50746,0.41604,0.30364,0.10435,2.24257,4.65654,2.09522,0.000828091,0.000828091,0.000828091
3,42.9795,2.20226,5.19836,1.83222,0.36744,0.1638,0.19848,0.08899,2.45742,6.08333,2.17963,0.00124071,0.00124071,0.00124071
4,55.7498,2.18515,4.78383,1.82326,0.35532,0.37784,0.40799,0.15566,2.13004,4.66617,1.94897,0.00123904,0.00123904,0.00123904
5,68.8443,2.16488,4.5886,1.8251,0.51564,0.47583,0.45042,0.18987,2.07987,3.91024,1.92146,0.00123056,0.00123056,0.00123056
6,82.0026,2.13421,4.45588,1.80943,0.67335,0.4191,0.54179,0.22874,2.15878,3.97116,1.93468,0.00121972,0.00121972,0.00121972
7,96.314,2.10071,4.21843,1.77233,0.56302,0.52246,0.59091,0.23214,2.05569,3.75674,1.85626,0.00120655,0.00120655,0.00120655
8,109.66,2.07151,4.07237,1.73225,0.51646,0.51052,0.57005,0.22998,2.01644,3.5028,1.8123,0.00119111,0.00119111,0.00119111
9,123.07,2.07438,3.96256,1.75316,0.6935,0.4381,0.54047,0.24501,2.03452,3.75793,1.93746,0.00117346,0.00117346,0.00117346
10,136.657,2.09241,3.92748,1.75329,0.65649,0.49706,0.58674,0.26503,1.98562,3.49684,1.77719,0.00115368,0.00115368,0.00115368
11,150.114,2.04297,3.88021,1.71208,0.55541,0.57909,0.61641,0.26268,2.00941,3.1811,1.75549,0.00113183,0.00113183,0.00113183
12,163.624,2.01516,3.70696,1.69869,0.63067,0.65053,0.64694,0.2609,1.9841,3.44996,1.82832,0.00110801,0.00110801,0.00110801
13,177.316,2.03095,3.74485,1.73039,0.69287,0.70326,0.70754,0.2919,1.99694,3.13907,1.73956,0.0010823,0.0010823,0.0010823
14,191.732,2.04115,3.6979,1.72212,0.73585,0.66148,0.73007,0.33003,1.92419,3.04248,1.71304,0.00105481,0.00105481,0.00105481
15,205.454,1.9954,3.61592,1.67171,0.62232,0.70823,0.67957,0.29837,2.01177,3.0712,1.77794,0.00102566,0.00102566,0.00102566
16,219.622,2.01157,3.56891,1.70842,0.68797,0.62147,0.67584,0.31466,1.93081,3.17443,1.82035,0.000994942,0.000994942,0.000994942
17,233.192,1.96836,3.45864,1.65168,0.7281,0.61464,0.70091,0.30865,1.97609,3.00484,1.81813,0.000962793,0.000962793,0.000962793
18,246.738,1.96088,3.40268,1.64692,0.76418,0.75222,0.80282,0.36318,1.96521,2.89428,1.81256,0.000929335,0.000929335,0.000929335
19,261.162,1.94924,3.29662,1.63267,0.65232,0.68686,0.73904,0.36266,1.94977,2.85354,1.7317,0.000894701,0.000894701,0.000894701
20,275.756,1.92879,3.20256,1.61756,0.68012,0.65749,0.76327,0.31354,1.97453,2.91074,1.80123,0.000859027,0.000859027,0.000859027
21,289.169,1.92891,3.17994,1.6249,0.76814,0.67907,0.77791,0.35913,1.91431,2.73263,1.72889,0.000822454,0.000822454,0.000822454
22,302.593,1.934,3.14882,1.6411,0.67533,0.69788,0.78836,0.37131,1.96948,2.75579,1.82265,0.000785127,0.000785127,0.000785127
23,316.209,1.89803,3.10604,1.61221,0.7715,0.75856,0.8321,0.37394,1.95947,2.55925,1.78418,0.000747192,0.000747192,0.000747192
24,329.645,1.90924,3.10764,1.5963,0.78237,0.74409,0.7978,0.35893,1.96686,2.63727,1.76517,0.0007088,0.0007088,0.0007088
25,343.088,1.89355,2.97204,1.61422,0.84293,0.73075,0.83112,0.40851,1.94195,2.49082,1.7369,0.000670102,0.000670102,0.000670102
26,356.764,1.87218,2.93284,1.58947,0.70019,0.77502,0.78861,0.35233,1.90955,2.49587,1.7474,0.00063125,0.00063125,0.00063125
27,370.124,1.87336,2.90604,1.58795,0.83026,0.76209,0.85493,0.42659,1.90601,2.43703,1.71031,0.000592398,0.000592398,0.000592398
28,383.992,1.85869,2.84428,1.56917,0.85318,0.78967,0.8599,0.43604,1.92442,2.40917,1.69935,0.0005537,0.0005537,0.0005537
29,397.495,1.84021,2.80947,1.56291,0.90298,0.82411,0.90998,0.439,1.92208,2.28159,1.67547,0.000515308,0.000515308,0.000515308
30,410.997,1.82858,2.78713,1.55371,0.88225,0.81624,0.88858,0.42583,1.94714,2.25782,1.74255,0.000477373,0.000477373,0.000477373
31,424.585,1.81961,2.69991,1.55428,0.8297,0.83147,0.86229,0.43224,1.91724,2.31146,1.72513,0.000440046,0.000440046,0.000440046
32,438.593,1.80959,2.66494,1.54878,0.82107,0.84501,0.88668,0.41217,1.92495,2.3023,1.71988,0.000403473,0.000403473,0.000403473
33,453.019,1.79454,2.57008,1.52582,0.91821,0.79726,0.90859,0.45734,1.90401,2.26181,1.7037,0.000367799,0.000367799,0.000367799
34,467.883,1.76194,2.54816,1.51458,0.87281,0.85266,0.90523,0.43642,1.93369,2.21095,1.71845,0.000333165,0.000333165,0.000333165
35,482.719,1.76981,2.49412,1.51011,0.87711,0.80719,0.90443,0.41933,1.90073,2.23574,1.69204,0.000299707,0.000299707,0.000299707
36,497.384,1.74563,2.47153,1.48873,0.89243,0.81446,0.90135,0.46117,1.88342,2.10624,1.67309,0.000267558,0.000267558,0.000267558
37,512.402,1.75399,2.48627,1.50614,0.90746,0.84969,0.9218,0.47593,1.88719,2.08994,1.68017,0.000236844,0.000236844,0.000236844
38,526.913,1.74473,2.41761,1.49978,0.89531,0.88672,0.91681,0.46193,1.90203,2.12561,1.67678,0.000207686,0.000207686,0.000207686
39,540.853,1.74064,2.37635,1.49564,0.92663,0.82518,0.91528,0.47238,1.89155,2.08779,1.66538,0.000180201,0.000180201,0.000180201
40,554.662,1.69811,2.33081,1.47503,0.90794,0.86215,0.92389,0.49399,1.88723,2.08106,1.65438,0.000154495,0.000154495,0.000154495
41,586.788,1.73447,2.29688,1.52734,0.83259,0.85306,0.91102,0.46184,1.87293,2.08741,1.65707,0.000130671,0.000130671,0.000130671
42,600.02,1.70457,2.23104,1.51857,0.89806,0.83492,0.92255,0.47641,1.89673,2.01484,1.64865,0.000108822,0.000108822,0.000108822
43,613.558,1.69486,2.14537,1.51448,0.90648,0.85144,0.92917,0.48639,1.86824,1.99536,1.64629,8.90352e-05,8.90352e-05,8.90352e-05
44,626.781,1.67566,2.11939,1.51014,0.89124,0.86401,0.93211,0.50573,1.85735,1.99235,1.6389,7.13883e-05,7.13883e-05,7.13883e-05
45,640.555,1.64922,2.10139,1.48912,0.90752,0.86064,0.93621,0.50307,1.85114,1.98404,1.63779,5.59508e-05,5.59508e-05,5.59508e-05
46,654.838,1.65884,2.09046,1.49154,0.92294,0.86744,0.94033,0.50884,1.84854,1.99098,1.63147,4.27838e-05,4.27838e-05,4.27838e-05
47,668.722,1.65983,2.03927,1.48813,0.88323,0.87614,0.93647,0.51147,1.86085,2.00278,1.63928,3.19392e-05,3.19392e-05,3.19392e-05
48,682.066,1.64456,2.0234,1.4859,0.8679,0.88636,0.93831,0.49979,1.86147,1.97384,1.63848,2.34598e-05,2.34598e-05,2.34598e-05
49,695.43,1.64098,2.01465,1.48003,0.86954,0.8752,0.93394,0.50015,1.85716,1.97035,1.63728,1.7379e-05,1.7379e-05,1.7379e-05
50,708.666,1.65538,2.07243,1.4977,0.90403,0.85193,0.93913,0.5133,1.85765,1.98035,1.64006,1.3721e-05,1.3721e-05,1.3721e-05
